gene_name	gene
Abcg2	ABCG2
Adam11	ADAM11
Adam22	ADAM22
Adck1	ADCK1
Adcyap1r1	ADCYAP1R1
Alb	ALB
Apmap	APMAP
Atp1b1	ATP1B1
Atp8a1	ATP8A1
Atp9a	ATP9A
Btbd17	BTBD17
C1qb	C1QB
C1qbp	C1QBP
C3	C3
Cacna2d3	CACNA2D3
Cacng2	CACNG2
Cacng3	CACNG3
Car2	CA2
Cdipt	CDIPT
Clic4	CLIC4
Cntfr	CNTFR
Cntnap1	CNTNAP1
Cntnap2	CNTNAP2
Cpe	CPE
Cpt1c	CPT1C
Cst3	CST3
Ctsd	CTSD
Eno2	ENO2
Erlin2	ERLIN2
Gabra1	GABRA1
Gabra4	GABRA4
Gabrb2	GABRB2
Gabrg2	GABRG2
Gjc3	GJC3
Gria2	GRIA2
Gria3	GRIA3
Gstm7	GSTM2
Hapln1	HAPLN1
Hapln4	HAPLN4
Hba-a1	HBA2
Hcn2	HCN2
Hexb	HEXB
Hsp90b1	HSP90B1
Igsf8	IGSF8
Itpr1	ITPR1
Lamp1	LAMP1
Lgalsl	LGALSL
Lgi1	LGI1
Lgi3	LGI3
Lman2	LMAN2
Lrba	LRBA
Lrp1	LRP1
Lrpap1	LRPAP1
Lsamp	LSAMP
Lynx1	LYNX1
Mag	MAG
Mal2	MAL2
Mbp	MBP
Mesd	MESD
Ngly1	NGLY1
Nlgn3	NLGN3
Nomo1	NOMO1
Nrcam	NRCAM
Nrxn1	NRXN1
Ntm	NTM
Olfm1	OLFM1
Ostc	OSTC
Pcyox1l	PCYOX1L
Pdia3	PDIA3
Ppia	PPIA
Ppt1	PPT1
Prdx4	PRDX4
Prkacb	PRKACB
Prnp	PRNP
Prrt3	PRRT3
Prxl2a	PRXL2A
Pten	PTEN
Ptk2b	PTK2B
Ptprs	PTPRS
Pzp	PZP
Sacm1l	SACM1L
Scamp3	SCAMP3
Serpina1a	SERPINA1
Serpinb1a	SERPINB1
Serpinb6a	SERPINB6
Slc17a6	SLC17A6
Slc17a7	SLC17A7
Slc27a4	SLC27A4
Slc2a3	SLC2A3
Slc30a3	SLC30A3
Slc5a7	SLC5A7
Slc8a1	SLC8A1
Slc8a2	SLC8A2
Sord	SORD
Sv2a	SV2A
Sv2b	SV2B
Syngr1	SYNGR1
Synj2bp	SYNJ2BP
Syp	SYP
Syt7	SYT7
Tas2r116	TAS2R14
Tenm1	TENM1
Tenm2	TENM2
Tenm4	TENM4
Tfrc	TFRC
Tgfbrap1	TGFBRAP1
Thy1	THY1
Tm9sf2	TM9SF2
Tmed10	TMED10
Tmem106b	TMEM106B
Tnr	TNR
Tpt1	TPT1
Tspan2	TSPAN2
Vcan	VCAN
Vdac1	VDAC1
Vdac2	VDAC2
Vdac3	VDAC3
Wdr1	WDR1
