	GO:0000184	GO:0000956	GO:0006401	GO:0006402	GO:0006612	GO:0006613	GO:0006614	GO:0006730	GO:0007215	GO:0007416	GO:0019080	GO:0019083	GO:0019439	GO:0034329	GO:0034330	GO:0034655	GO:0044270	GO:0045047	GO:0045540	GO:0046700	GO:0050808	GO:0070972	GO:0072599	GO:0090150	GO:0106118	GO:1901361
GO:0000184	1	0.854177377648364	0.734007202720059	0.805467789075007	0.00795213089265494	0.00781187505293141	0.00781113862211714	0.0495896554851409	0.15934580249213	0.00686289646478205	0	0	0.515590074326848	0.0073206203990526	0.00764549060007978	0.731013418892331	0.511231183862064	0.00789747022714097	0.191889245869635	0.509653006477321	0.00734756910757041	0.00800879943102467	0.00790040346714068	0.00836251178982812	0.194134652631626	0.464617757602254
GO:0000956	0.854177377648364	1	0.796424041665255	0.871045443871751	0.00857640405355173	0.00841348815597601	0.00841263393467282	0.0537193038391681	0.170712985953701	0.0073229172830295	0	0	0.563657140967609	0.00784640066165601	0.00822080552921711	0.796808475532775	0.558451733538403	0.00851285866286305	0.203086093603118	0.556569087766169	0.00787736757949989	0.00864235612879939	0.00851626694092606	0.00905568878716228	0.205602905514989	0.507931833329222
GO:0006401	0.734007202720059	0.796424041665255	1	0.830869056327644	0.00931530718036498	0.00912342388071528	0.00912241942635614	0.0586547243191756	0.00839876703531999	0.00785491623514511	0	0	0.622274203172202	0.00846036732422302	0.00889728895431088	0.876521577032136	0.615935923438779	0.00924038838185214	0	0.613646544329584	0.00849638117802556	0.00939316463271565	0.00924440425036203	0.00988347096105529	0	0.56075246870627
GO:0006402	0.805467789075007	0.871045443871751	0.830869056327644	1	0.00891770425898698	0.00874169684923362	0.00874077468561195	0.0559925396427012	0.176863960469038	0.00757030360063555	0	0	0.590495243985669	0.00813110786397139	0.00853387364067679	0.83337650062274	0.584784843301814	0.00884902087522503	0.209032453550403	0.582720791890538	0.00816436758958854	0.00898903176754407	0.00885270370358558	0.0094370495200699	0.211699775524707	0.532116045372513
GO:0006612	0.00795213089265494	0.00857640405355173	0.00931530718036498	0.00891770425898698	1	0.873811818459373	0.873722881529527	0.00912206648784379	0.00781119347584228	0.00733863519984444	0	0	0.0102153394342168	0.00786444887983533	0.00824061942114886	0.00986126894162144	0.0101207209091221	0.807299063704594	0	0.0100865014025491	0.00789555870357274	0.65144767244175	0.641919528031329	0.911789373358246	0	0
GO:0006613	0.00781187505293141	0.00841348815597601	0.00912342388071528	0.00874169684923362	0.873811818459373	1	0.960822200302505	0.00893798297189378	0.00767582283598643	0.00721902289386349	0	0	0.00998504420659591	0.00772724229072952	0.00809009885939533	0.00964649359533277	0.00989462488390586	0.792037949956219	0	0.00986191475021412	0.00775727400003316	0.638948554776757	0.629779956737016	0.893473108323708	0	0
GO:0006614	0.00781113862211714	0.00841263393467282	0.00912241942635614	0.00874077468561195	0.873722881529527	0.960822200302505	1	0.00893701893307998	0.00767511183210226	0.00721839399426005	0	0	0.00998384108375926	0.00772652172951957	0.00808930904039945	0.00964537067040915	0.00989344345082071	0.98589449370283	0	0.00986074111503253	0.00775654782732089	0.786394695632781	0.957313892368632	0.893377177666254	0	0
GO:0006730	0.0495896554851409	0.0537193038391681	0.0586547243191756	0.0559925396427012	0.00912206648784379	0.00893798297189378	0.00893701893307998	1	0.00824136055043729	0.00771706773615768	0	0	0.0647370502725041	0.00830066534614749	0.00872083797057562	0.062334932878495	0.0640939369975713	0.00905021175615086	0	0.0638615649196875	0.00833532961730803	0.00919671428590203	0.00905406398989281	0.00966621382041422	0	0.0350643122246159
GO:0007215	0.15934580249213	0.170712985953701	0.00839876703531999	0.176863960469038	0.00781119347584228	0.00767582283598643	0.00767511183210226	0.00824136055043729	1	0.0067576688454574	0	0	0.00912351284573564	0.00720101060829444	0.00751512383405703	0.00884003431779778	0.0090479645103569	0.00775844674158713	0.130159190667388	0.00902060500159024	0.00722708432620729	0.00786586421096224	0.00776127760119035	0.00820679490198913	0.131661487168182	0
GO:0007416	0.00686289646478205	0.0073229172830295	0.00785491623514511	0.00757030360063555	0.00733863519984444	0.00721902289386349	0.00721839399426005	0.00771706773615768	0.0067576688454574	1	0	0	0.00848531855067969	0.858279863849244	0.314734105412885	0.008239577767475	0.00841993196554234	0.00729205848637519	0	0.00839623379359659	0.861212819592903	0.00738687070944204	0.00729455917446367	0.00768675205025231	0	0
GO:0019080	0	0	0	0	0	0	0	0	0	0	1	0.657183958397863	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019083	0	0	0	0	0	0	0	0	0	0	0.657183958397863	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GO:0019439	0.515590074326848	0.563657140967609	0.622274203172202	0.590495243985669	0.0102153394342168	0.00998504420659591	0.00998384108375926	0.0647370502725041	0.00912351284573564	0.00848531855067969	0	0	1	0.00919624907923157	0.00971481237479792	0.666837377812449	0.688400722048418	0.010125314107849	0	0.685542214073019	0.00923881611797666	0.0103090443301667	0.0101301361846057	0.0109026478476363	0	0.607297083444254
GO:0034329	0.0073206203990526	0.00784640066165601	0.00846036732422302	0.00813110786397139	0.00786444887983533	0.00772724229072952	0.00772652172951957	0.00830066534614749	0.00720101060829444	0.858279863849244	0	0	0.00919624907923157	1	0.336424473357173	0.00890830385642875	0.00911949640690442	0.00781098291854001	0	0.00909170325189607	0.918275403774386	0.00791987027257639	0.00781385225326159	0.00826560149755768	0	0
GO:0034330	0.00764549060007978	0.00822080552921711	0.00889728895431088	0.00853387364067679	0.00824061942114886	0.00809009885939533	0.00808930904039945	0.00872083797057562	0.00751512383405703	0.314734105412885	0	0	0.00971481237479792	0.336424473357173	1	0.0093940442902366	0.00962919999927572	0.00818193547559412	0	0.00959821848935585	0.337704319696989	0.00830148993625692	0.00818508387277391	0.00868214274758439	0	0
GO:0034655	0.731013418892331	0.796808475532775	0.876521577032136	0.83337650062274	0.00986126894162144	0.00964649359533277	0.00964537067040915	0.062334932878495	0.00884003431779778	0.008239577767475	0	0	0.666837377812449	0.00890830385642875	0.0093940442902366	1	0.659564086111086	0.00977735050482052	0	0.65693958765436	0.00894824119256339	0.00994856290809339	0.00978184677469429	0.0105002677531209	0	0.600908787759481
GO:0044270	0.511231183862064	0.558451733538403	0.615935923438779	0.584784843301814	0.0101207209091221	0.00989462488390586	0.00989344345082071	0.0640939369975713	0.0090479645103569	0.00841993196554234	0	0	0.688400722048418	0.00911949640690442	0.00962919999927572	0.659564086111086	1	0.0100323483462423	0	0.677857518094295	0.00916135425749247	0.0102126901663466	0.0100370822608254	0.0107949358761724	0	0.600383796474666
GO:0045047	0.00789747022714097	0.00851285866286305	0.00924038838185214	0.00884902087522503	0.807299063704594	0.792037949956219	0.98589449370283	0.00905021175615086	0.00775844674158713	0.00729205848637519	0	0	0.010125314107849	0.00781098291854001	0.00818193547559412	0.00977735050482052	0.0100323483462423	1	0	0.00999872283668733	0.00784167035849712	0.795858736277981	0.968667633268473	0.677334018003503	0	0
GO:0045540	0.191889245869635	0.203086093603118	0	0.209032453550403	0	0	0	0	0.130159190667388	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.856331996809428	0
GO:0046700	0.509653006477321	0.556569087766169	0.613646544329584	0.582720791890538	0.0100865014025491	0.00986191475021412	0.00986074111503253	0.0638615649196875	0.00902060500159024	0.00839623379359659	0	0	0.685542214073019	0.00909170325189607	0.00959821848935585	0.65693958765436	0.677857518094295	0.00999872283668733	0	1	0.00913330577203631	0.0101778469839305	0.0100034250636085	0.0107560140535828	0	0.597890837652296
GO:0050808	0.00734756910757041	0.00787736757949989	0.00849638117802556	0.00816436758958854	0.00789555870357274	0.00775727400003316	0.00775654782732089	0.00833532961730803	0.00722708432620729	0.861212819592903	0	0	0.00923881611797666	0.918275403774386	0.337704319696989	0.00894824119256339	0.00916135425749247	0.00784167035849712	0	0.00913330577203631	1	0.00795142098756524	0.00784456228750844	0.00829997292181762	0	0
GO:0070972	0.00800879943102467	0.00864235612879939	0.00939316463271565	0.00898903176754407	0.65144767244175	0.638948554776757	0.786394695632781	0.00919671428590203	0.00786586421096224	0.00738687070944204	0	0	0.0103090443301667	0.00791987027257639	0.00830148993625692	0.00994856290809339	0.0102126901663466	0.795858736277981	0	0.0101778469839305	0.00795142098756524	1	0.79618061367298	0.688247236130813	0	0
GO:0072599	0.00790040346714068	0.00851626694092606	0.00924440425036203	0.00885270370358558	0.641919528031329	0.629779956737016	0.957313892368632	0.00905406398989281	0.00776127760119035	0.00729455917446367	0	0	0.0101301361846057	0.00781385225326159	0.00818508387277391	0.00978184677469429	0.0100370822608254	0.968667633268473	0	0.0100034250636085	0.00784456228750844	0.79618061367298	1	0.677620998152695	0	0
GO:0090150	0.00836251178982812	0.00905568878716228	0.00988347096105529	0.0094370495200699	0.911789373358246	0.893473108323708	0.893377177666254	0.00966621382041422	0.00820679490198913	0.00768675205025231	0	0	0.0109026478476363	0.00826560149755768	0.00868214274758439	0.0105002677531209	0.0107949358761724	0.677334018003503	0	0.0107560140535828	0.00829997292181762	0.688247236130813	0.677620998152695	1	0	0
GO:0106118	0.194134652631626	0.205602905514989	0	0.211699775524707	0	0	0	0	0.131661487168182	0	0	0	0	0	0	0	0	0	0.856331996809428	0	0	0	0	0	1	0
GO:1901361	0.464617757602254	0.507931833329222	0.56075246870627	0.532116045372513	0	0	0	0.0350643122246159	0	0	0	0	0.607297083444254	0	0	0.600908787759481	0.600383796474666	0	0	0.597890837652296	0	0	0	0	0	1
