genes	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
A1BG	0.857304949720886	3.02144907709902	1.2062754400154	2.50477542430976	0.0122529164907244	0.0962694830947699
A1CF	0.422275007880825	-1.90357856775844	2.17116692879757	-0.876753667583118	0.380620449837561	NA
A2ML1	3.62935671865299	1.02577561763209	0.55330859183095	1.85389425137554	0.0637542905075167	0.257326209373022
A3GALT2	2.27546407498864	-0.500215107719437	0.727325241601453	-0.687746112891729	0.49161267578253	0.745379041271524
A4GALT	0.644011761473683	-1.07353479463595	1.60911525742634	-0.667158421176734	0.504670946605793	NA
A4GNT	0	NA	NA	NA	NA	NA
AAAS	10.2058724528727	-0.4740362852286	0.311610267051965	-1.52124732510674	0.12819778339588	0.374045037427638
AACS	58.7347101242117	-0.344549818995046	0.267091074575214	-1.29000873407329	0.197047625607082	0.47223076304281
AADAC	0.121263308381215	-0.573526123014353	3.5956394143704	-0.159506017406025	0.873270217809384	NA
AADACL2	0.0798044895080396	-0.573526123014353	3.5956394143704	-0.159506017406025	0.873270217809384	NA
AADACL3	0.0904941708558248	-0.573526123014353	3.5956394143704	-0.159506017406025	0.873270217809384	NA
AADACL4	0.386045723864741	-0.689273668232464	2.10363640586019	-0.327658176247723	0.743170129603129	NA
AADAT	15.0958173273208	-0.457892419808705	0.397667647240169	-1.15144498926805	0.249549214303703	0.530255893293755
AAGAB	34.0932911299832	0.226372434996717	0.213002121532816	1.06277079950042	0.28788590477926	0.568815986415431
AAK1	369.713315707368	-0.343057702078673	0.0959978930622934	-3.57359616065804	0.000352111849405846	0.00797125525745325
AAMDC	17.3349608933351	-0.826011716338939	0.291992118184758	-2.82888360642762	0.00467106836967666	0.0507234985292531
AAMP	10.2991178596342	0.486886545050185	0.322340843036353	1.51047115365171	0.130923244591638	0.379144380447139
AANAT	1.01041574793174	1.45596722683385	1.06426238538376	1.36805288510582	0.171295522861499	0.436814484581689
AAR2	10.2022970980833	0.00788942379407419	0.278294811127591	0.0283491588007263	0.977383673283713	0.991906216677376
AARD	0.518497169917314	-0.798820139794727	2.30882641458355	-0.345985360678928	0.729353716597087	NA
AARS2	9.08504209175595	-0.338437071460505	0.406865332498772	-0.831815946033019	0.405512841735846	0.677413823027599
AASDH	29.4024870820182	0.104516104086075	0.21463327371112	0.486952010184338	0.62629233992869	0.831917854607281
AASDHPPT	47.0507703572315	-0.631447124281025	0.399867205094265	-1.57914206575698	0.114303474854436	0.349500837023674
AASS	1.19325269626091	0.166645640268331	0.867234408000985	0.192157551327393	0.8476187953428	0.94519717428718
AATF	26.3663119679503	0.441112114746696	0.222678608854998	1.98093618877391	0.0475984300832111	0.215619404092106
AATK	61.7465778421495	-0.261355086406077	0.232884181149405	-1.12225349577697	0.261754672891856	0.54250912462638
ABAT	97.9301260158765	-0.354331153780235	0.783841051307019	-0.452044650110381	0.651236816654818	0.845960425006221
ABCA1	5.59918587865963	-0.789376235662851	0.613440093527017	-1.28680248322909	0.198163141204329	0.473238549355355
