cell_type	N_HARs.Intron	prop_HARs.Intron	pval_HARs.Intron	N_HARs.Flanking	prop_HARs.Flanking	pval_HARs.Flanking	N_HARs.FlankingAndIntron	prop_HARs.FlankingAndIntron	pval_HARs.FlankingAndIntron	N_hCONDELs.Intron	prop_hCONDELs.Intron	pval_hCONDELs.Intron	N_hCONDELs.Flanking	prop_hCONDELs.Flanking	pval_hCONDELs.Flanking	N_hCONDELs.FlankingAndIntron	prop_hCONDELs.FlankingAndIntron	pval_hCONDELs.FlankingAndIntron	N_HARorhCONDEL	prop_HARorhCONDEL	pval_HARorhCONDEL	N_HARandhCONDEL	prop_HARandhCONDEL	pval_HARandhCONDEL	N_DEGandHARandhCONDEL	prop_DEGandHARandhCONDEL	pval_DEGandHARandhCONDEL	padj_HARs.Intron	padj_HARs.Flanking	padj_HARs.FlankingAndIntron	padj_hCONDELs.Intron	padj_hCONDELs.Flanking	padj_hCONDELs.FlankingAndIntron	padj_HARorhCONDEL	padj_HARandhCONDEL	padj_DEGandHARandhCONDEL
Sncg2	37	0.133093525179856	4.50088385434222e-05	11	0.039568345323741	0.0505314503068685	45	0.161870503597122	1.0165275911696e-05	24	0.0863309352517986	1.72498418686162e-06	16	0.0575539568345324	0.0692109768780785	38	0.136690647482014	2.73018630921143e-06	72	0.258992805755396	1.45291764257378e-09	11	0.258992805755396	0.00433601249181453	419	1.50719424460432	0.0313123568047154	0.000135831900757012	0.221560974422423	5.08340054733162e-05	9.83240986511123e-05	0.273529156386002	0.000155620619625051	8.28163056267055e-08	0.0209224746401905	0.0364245783238526
SstChodl1	44	0.174603174603175	1.16578639357718e-08	13	0.0515873015873016	0.00248214052748683	50	0.198412698412698	1.25634067014736e-08	20	0.0793650793650794	7.02329275090172e-05	17	0.0674603174603175	0.0152811066046059	33	0.130952380952381	5.38189022575256e-05	64	0.253968253968254	1.16785747788203e-07	19	0.253968253968254	2.83220138378807e-08	747	2.96428571428571	2.05835968079738e-07	6.64498244338993e-07	0.0282964020133499	7.16114181983995e-07	0.00193038383212197	0.138834837537906	0.00153383871433948	3.32839381196379e-06	1.6143547887592e-06	3.91088339351502e-06
Oligo1	24	0.210526315789474	9.07685855597279e-07	5	0.043859649122807	0.104317528749397	28	0.245614035087719	2.42464824653653e-07	10	0.087719298245614	0.00202637187195737	3	0.0263157894736842	0.800463551594604	11	0.0964912280701754	0.118229046942905	35	0.307017543859649	7.62542651414288e-07	4	0.307017543859649	0.122925840109171	332	2.91228070175439	0.459718282080011	1.72460312563483e-05	0.312952586248191	2.76409900105164e-06	0.0144378995876963	0.950673973884746	0.217388892765987	1.44883103768715e-05	0.194632580172854	0.467927537117154
MicroPVM1	22	0.297297297297297	1.45684573513504e-06	7	0.0945945945945946	0.00402492852173077	25	0.337837837837838	5.50794557214596e-07	11	0.148648648648649	0.000300896888113872	8	0.108108108108108	0.0170498923292165	16	0.216216216216216	0.000251643580414016	30	0.405405405405405	2.44006474688129e-06	11	0.405405405405405	5.14602177142671e-06	723	9.77027027027027	0.00194035300623228	2.07600517256743e-05	0.0382368209564423	5.23254829353866e-06	0.00428778065562268	0.138834837537906	0.0047812280278663	3.47709226430584e-05	0.000102178103204957	0.00316000346729257
L5IT1	73	0.100968188105118	2.14743385508612e-05	21	0.029045643153527	0.143395159490069	89	0.123098201936376	1.07018958891192e-05	25	0.0345781466113416	0.144817034363433	29	0.0401106500691563	0.403814830781544	52	0.0719225449515906	0.098676447399109	127	0.175656984785615	9.29634996102926e-06	14	0.175656984785615	0.254410829175554	239	0.330567081604426	0.00310407793797182	9.41567151845453e-05	0.326503356551326	5.08340054733162e-05	0.281364227384927	0.852497976094371	0.20831694450923	8.8315324629778e-05	0.364990616381629	0.00430985639863233
Vip6	27	0.129807692307692	0.00110638203874213	10	0.0480769230769231	0.0101842668369647	36	0.173076923076923	1.65139775312771e-05	11	0.0528846153846154	0.0611118881788312	15	0.0721153846153846	0.0134415812622592	23	0.110576923076923	0.00855704424963123	50	0.240384615384615	8.27906406238476e-06	9	0.240384615384615	0.00745301710381559	421	2.02403846153846	0.0071002109232108	0.00192713626085716	0.0802242207341721	7.24074399448304e-05	0.151451201138843	0.138834837537906	0.0541946135809978	8.8315324629778e-05	0.0223763969121444	0.00919800051415945
L23IT2	66	0.108019639934534	6.06138508316452e-06	18	0.0294599018003273	0.141807240034578	79	0.129296235679214	3.73002712798926e-06	17	0.027823240589198	0.692540974926159	35	0.0572831423895254	0.00431847541679813	47	0.0769230769230769	0.03920847867492	109	0.178396072013093	1.6995594898954e-05	17	0.178396072013093	0.00745879897071481	343	0.561374795417349	1.77440122844155e-05	4.74986231839026e-05	0.326503356551326	2.65764432869235e-05	0.805608889199818	0.0820510329191645	0.101585603839565	8.9064526323652e-05	0.0223763969121444	7.22434785865488e-05
L5IT2	67	0.0946327683615819	0.00034341997699935	20	0.0282485875706215	0.175476194721233	78	0.110169491525424	0.00103770118821399	30	0.0423728813559322	0.0067438387015789	34	0.0480225988700565	0.0549196153012147	58	0.0819209039548023	0.00445125835267001	123	0.173728813559322	1.60751738612607e-05	13	0.173728813559322	0.321147919625004	226	0.319209039548023	0.00758787916696013	0.000752882257267806	0.344901486176217	0.00203961957683439	0.0320332338324998	0.273529156386002	0.0422869543503651	8.9064526323652e-05	0.397944161274461	0.00961131361148283
VLMC1	15	0.319148936170213	8.07268206619708e-06	4	0.0851063829787234	0.0345405035761686	17	0.361702127659574	3.5540802644846e-06	5	0.106382978723404	0.0326745430114926	4	0.0851063829787234	0.140176852810528	8	0.170212765957447	0.0236295717031448	20	0.425531914893617	1.34237517808708e-05	5	0.425531914893617	0.004404731503198	707	15.0425531914894	0.117559656194552	5.11269864192482e-05	0.196880870384161	2.65764432869235e-05	0.0980236290344778	0.380480029057147	0.0841803491924534	8.9064526323652e-05	0.0209224746401905	0.12643208307716
Vip4	46	0.130311614730878	3.81847748190103e-06	17	0.0481586402266289	0.00187938476073857	59	0.1671388101983	3.61007087880528e-08	14	0.0396600566572238	0.182439882245299	14	0.0396600566572238	0.660331102782116	27	0.0764872521246459	0.170955232690027	72	0.203966005665722	1.71878910449153e-05	14	0.203966005665722	0.000854494067491831	449	1.27195467422096	1.13315885769954e-05	4.35306432936717e-05	0.0267812328405246	1.0288702004595e-06	0.324971040249439	0.905747178825069	0.279884027064536	8.9064526323652e-05	0.00974123236940687	6.2995591535627e-05
