cell_type	regdom_prop	num_HARs	num_hCONDELs	num_HARs_hCONDELs	num_genes_near_HARs	num_genes_near_hCONDELs	num_genes_near_HARs_hCONDELs	prop_HARs	prop_hCONDELs	prop_HARs_hCONDELs	pval_genes_near_HARs	pval_genes_near_hCONDELs	pval_genes_near_HARs_hCONDELs	pval_HARs	pval_hCONDELs	pval_HARs_hCONDELs	padj_genes_near_HARs	padj_genes_near_hCONDELs	padj_genes_near_HARs_hCONDELs	padj_HARs	padj_hCONDELs	padj_HARs_hCONDELs
Astro1	0.0378570648580629	225	61	286	109	50	130	0.133578431372549	0.0612745098039216	0.159313725490196	3.28444439442095e-05	0.000939374262157305	0.000159880344360658	1.27108497686009e-18	0.00945074678372309	1.00840731031296e-18	0.00183928886087573	0.0535443329429664	0.00879341893983619	6.99096737273049e-17	0.538692566672216	5.74792166878387e-17
Vip6	0.0541327956167099	305	71	376	160	63	193	0.119940029985007	0.0472263868065967	0.144677661169415	3.91899286844364e-05	0.0635085516710111	0.000339693180482383	1.30389822353887e-21	0.185890685145447	1.51669229692319e-18	0.002155446077644	1	0.0180037385655663	7.43221987417156e-20	1	8.49347686276986e-17
L56NP2	0.0556090382768471	305	78	383	168	65	199	0.121037463976945	0.0468299711815562	0.143371757925072	5.91324317316608e-06	0.0297544783879689	0.000137168856524336	5.64263197361986e-20	0.0637260831852633	2.55462468869622e-18	0.000337054860870467	1	0.00768145596536282	3.15987390522712e-18	1	1.40504357878292e-16
Pvalb1	0.0474079072257715	258	67	325	135	58	168	0.103211009174312	0.0443425076452599	0.128440366972477	0.0216959425970102	0.10469838845596	0.036466951886502	1.30628452247178e-16	0.0721510050063604	2.07942441147363e-15	0.867837703880408	1	1	7.05393642134761e-15	1	1.12288918219576e-13
Lamp51	0.056997934589869	293	78	371	162	72	207	0.104516129032258	0.0464516129032258	0.133548387096774	0.00422798867267987	0.0175390400889398	0.00179158704499631	1.18982245131708e-15	0.0947289723911026	2.44605606226689e-14	0.190259490270594	0.84187392426911	0.0859961781598229	6.06809450171711e-14	1	1.29640971300145e-12
L4IT2	0.0558488314038866	289	75	364	164	66	207	0.103863204559848	0.0417986067131096	0.131095630145662	0.00452634651051117	0.12623057436962	0.00390769347981357	8.61106715462696e-16	0.130595090649968	3.69804648387748e-14	0.199159246462492	1	0.175846206591611	4.47775492040602e-14	1	1.92298417161629e-12
Sncg2	0.0533569380527449	271	77	348	153	68	192	0.118788819875776	0.0527950310559006	0.149068322981366	0.000104239323565193	0.00420496652312563	6.40358972017055e-05	5.84138218892462e-14	0.0397353645109778	1.29578276812974e-13	0.00552468414895523	0.227068192248784	0.00365004614049721	2.86227727257306e-12	1	6.60849211746167e-12
L6ITCar31	0.0543130750907372	283	69	352	156	62	192	0.11134903640257	0.0442541042112777	0.137044967880086	0.000293079271692938	0.0627306401884988	0.000739082538964608	7.8105514263558e-16	0.269323542548373	2.0502453629004e-13	0.0152401221280328	1	0.037693209487195	4.13959225596857e-14	1	1.0251226814502e-11
Pax62	0.0446657666667804	226	67	293	130	56	159	0.115864527629234	0.0499108734402852	0.141711229946524	0.00111817181870619	0.0287547670482089	0.00322236797553967	1.15641443500083e-11	0.0271486523996274	6.82572448888603e-12	0.0570267627540157	1	0.148228926874825	4.85694062700349e-10	1	3.34460499955415e-10
Sncg3	0.0475262409740843	238	69	307	131	63	169	0.109715242881072	0.0527638190954774	0.141541038525963	0.00334602980953624	0.00286034481239069	0.000775066644848821	8.41707433088913e-12	0.0447184429418586	1.11943231755175e-11	0.153917371238667	0.157318964681488	0.038753332242441	3.70351270559122e-10	1	5.3732751242484e-10
