sample_ID	expr	species	cell_type
humanH1830001	69.9449092261075	Human	Astro1
humanH1830002	173.214238807012	Human	Astro1
humanH1930001	170.653766446987	Human	Astro1
humanH1930002	155.369678309578	Human	Astro1
chimpC1932001	12.4245386467005	Chimp	Astro1
chimpC1932002	73.9291904175923	Chimp	Astro1
chimpC1932003	73.0715983415918	Chimp	Astro1
chimpC1932004	57.2398443742293	Chimp	Astro1
chimpC1932005	46.3930310544648	Chimp	Astro1
chimpC1932006	61.1172147952476	Chimp	Astro1
chimpC1932007	44.9764931570752	Chimp	Astro1
gorillaG1932001	79.2598083273012	Gorilla	Astro1
gorillaG1932002	111.987249385256	Gorilla	Astro1
gorillaG2032001	82.0675051184097	Gorilla	Astro1
gorillaG2032002	101.976845421509	Gorilla	Astro1
rhesusQ1926010	249.032461340865	Rhesus	Astro1
rhesusQ1926011	203.882008566978	Rhesus	Astro1
rhesusQ1926015	225.475233279347	Rhesus	Astro1
marmosetbi005	129.403903831925	Marmoset	Astro1
marmosetbi006	115.245674019763	Marmoset	Astro1
marmosetbi007	111.74578507081	Marmoset	Astro1
humanH18300011	657.889862197878	Human	Chandelier1
humanH18300021	454.110207513337	Human	Chandelier1
humanH19300011	427.548476215545	Human	Chandelier1
humanH19300021	474.223447759601	Human	Chandelier1
humanH2001023	496.16889459694	Human	Chandelier1
chimpC19320011	636.765470273612	Chimp	Chandelier1
chimpC19320021	749.531243025871	Chimp	Chandelier1
chimpC19320031	617.583077023909	Chimp	Chandelier1
chimpC19320041	518.420009607827	Chimp	Chandelier1
chimpC19320051	630.056076043212	Chimp	Chandelier1
chimpC19320061	496.352944126816	Chimp	Chandelier1
chimpC19320071	520.159942524852	Chimp	Chandelier1
gorillaG19320011	642.65178656676	Gorilla	Chandelier1
gorillaG19320021	642.168472261247	Gorilla	Chandelier1
gorillaG20320011	294.659247987127	Gorilla	Chandelier1
gorillaG20320021	645.369245881747	Gorilla	Chandelier1
rhesusQ19260101	700.601655947087	Rhesus	Chandelier1
rhesusQ19260111	657.172043845234	Rhesus	Chandelier1
rhesusQ19260151	566.150089317973	Rhesus	Chandelier1
marmosetbi0051	477.61713235804	Marmoset	Chandelier1
marmosetbi0061	297.682155813479	Marmoset	Chandelier1
marmosetbi0071	343.515103559883	Marmoset	Chandelier1
humanH18300012	339.745646011334	Human	Endo1
humanH18300022	405.203348497152	Human	Endo1
humanH19300012	385.39115913523	Human	Endo1
humanH19300022	501.377466827947	Human	Endo1
humanH20010231	193.064141122584	Human	Endo1
chimpC19320012	534.072966574564	Chimp	Endo1
chimpC19320022	487.148527012097	Chimp	Endo1
chimpC19320032	365.496984133044	Chimp	Endo1
chimpC19320042	480.072875806319	Chimp	Endo1
chimpC19320052	470.932367833116	Chimp	Endo1
chimpC19320062	439.80244427191	Chimp	Endo1
chimpC19320072	500.127952758008	Chimp	Endo1
gorillaG19320012	451.559054971106	Gorilla	Endo1
gorillaG19320022	456.752442128007	Gorilla	Endo1
gorillaG20320012	367.559187478159	Gorilla	Endo1
gorillaG20320022	752.623803761408	Gorilla	Endo1
