cell_type	regdom_prop	num_HARs	num_hCONDELs	num_HARs_hCONDELs	num_genes_near_HARs	num_genes_near_hCONDELs	num_genes_near_HARs_hCONDELs	prop_HARs	prop_hCONDELs	prop_HARs_hCONDELs	pval_genes_near_HARs	pval_genes_near_hCONDELs	pval_genes_near_HARs_hCONDELs	pval_HARs	pval_hCONDELs	pval_HARs_hCONDELs	padj_genes_near_HARs	padj_genes_near_hCONDELs	padj_genes_near_HARs_hCONDELs	padj_HARs	padj_hCONDELs	padj_HARs_hCONDELs
L56NP1	0.06685106199435	377	165	542	209	137	286	0.154016212232867	0.100957995578482	0.210759027266028	2.42177052657272e-10	5.07036948841479e-12	2.9808086325127e-14	9.02627252493283e-27	4.07454847283467e-19	2.87300454846578e-43	1.38040920014645e-08	2.89011060839643e-10	1.69906092053224e-12	5.14497533921171e-25	2.32249262951576e-17	1.63761259262549e-41
L56NP2	0.0732598162365709	396	144	540	218	121	285	0.120641947980077	0.066961815163254	0.157719977863863	0.00142764869136191	0.0117895109726854	0.00386073367111073	8.90312029083021e-25	1.57836232269239e-09	1.5537149807986e-32	0.0685271371853717	0.554107015716214	0.185315216213315	4.98574736286492e-23	7.89181161346195e-08	8.70080389247216e-31
Vip7	0.0526527915777525	298	109	407	168	89	220	0.116102280580511	0.0615065653075328	0.152038700760193	0.0248829015307339	0.145552031024262	0.0500307573875391	2.13349934621277e-21	1.42232779055804e-08	3.07337366556484e-28	0.721604144391283	1	1	1.1520896469549e-19	5.97377672034377e-07	1.69035551606066e-26
Chandelier1	0.0558740281891959	309	116	425	171	90	225	0.114996637525219	0.0605245460659045	0.151311365164761	0.0317463415561703	0.209991006187229	0.0624995575009737	9.79851782799094e-21	4.02369691859583e-09	4.07182768365895e-28	0.888897563572769	1	1	5.09522927055529e-19	1.89113755174004e-07	2.19878694917583e-26
Vip3	0.0474919568423979	283	91	374	152	77	194	0.119122257053292	0.0603448275862069	0.152037617554859	0.0159500997381747	0.24487547017356	0.0771553799758469	2.14249780030986e-23	5.36834506447676e-06	2.21683722093078e-27	0.499692571708277	1	1	1.17837379017042e-21	0.000118103591418489	1.17492372709331e-25
L6b3	0.0266525237561132	179	67	246	90	52	118	0.160142348754448	0.0925266903914591	0.209964412811388	1.90751692904556e-05	0.000629904169348817	5.38854838211877e-06	5.86497689625003e-20	1.18955262966233e-08	6.65338472684725e-27	0.0010300591416846	0.0346447293141849	0.000290981612634414	2.99113821708752e-18	5.11507630754802e-07	3.45976005796057e-25
Pvalb3	0.0625634697311326	331	126	457	182	104	249	0.103703703703704	0.0592592592592593	0.141880341880342	0.285149864456919	0.18907017182249	0.237349684126175	2.35995357104878e-19	4.73656061813573e-09	1.18145879963847e-26	1	1	1	1.17997678552439e-17	2.17881788434244e-07	6.0254398781562e-25
L6ITCar31	0.0623480609302264	336	117	453	182	99	240	0.10865671641791	0.0591044776119403	0.143283582089552	0.108085527845069	0.207237944095186	0.191673231259937	8.0707806958864e-21	6.31395227626487e-07	5.79125539712053e-26	1	1	1	4.27751376881979e-19	1.83104616011681e-05	2.89562769856026e-24
L6ITCar32	0.0642969126638581	333	128	461	195	103	255	0.10455764075067	0.0552278820375335	0.136729222520107	0.225498788881743	0.510557745972691	0.492298776925781	3.7184071475918e-18	6.88836087142296e-09	2.75817824642228e-25	1	1	1	1.67328321641631e-16	3.0308787834261e-07	1.35150734074692e-23
Lamp52	0.0435757150842904	243	99	342	142	78	190	0.127240143369176	0.0698924731182796	0.170250896057348	0.0020792735697561	0.0247204005345561	0.000996246347386979	7.44819336881495e-17	7.45120917445419e-10	7.79313680931429e-25	0.0956465842087806	1	0.049812317369349	3.20272314859043e-15	3.87462877071618e-08	3.74070566847086e-23
