gene_group	pval_hDEG_enrich	OR_hDEG_enrich	pval_hDEG_near_HAR_hCONDEL_enrich	OR_hDEG_near_HAR_hCONDEL_enrich	pval_hDEG_near_HAR_hCONDEL_in_cat_enrich	OR_hDEG_near_HAR_hCONDEL_in_cat_enrich	padj_hDEG_enrich	padj_hDEG_near_HAR_hCONDEL_enrich	padj_hDEG_near_HAR_hCONDEL_in_cat_enrich
all	1	0	1	0	2.51242990887625e-77	2.90505955815295	1	1	2.11044112345605e-75
SynGO	1.98568142131897e-19	1.78783360156781	1.64856570436697e-07	1.82625690574497	1.95340787239685e-12	3.16789568701127	1.66797239390793e-17	3.46198797917064e-06	8.20431306406677e-11
SynGO-L2-CC-postsynapse	4.97711424457407e-16	2.03997646251372	1.09661145036295e-05	1.9120580832502	2.79433923875045e-08	3.66796265105471	2.09038798272111e-14	0.000131593374043554	7.82414986850126e-07
SynGO-L2-BP-synapse organization	1.03505812297693e-11	2.32040200966147	1.93387195681038e-10	3.2438457138597	4.0053439045343e-08	5.39522107225244	1.73889764660124e-10	1.62445244372072e-08	8.41122219952203e-07
SynGO-L2-CC-presynapse	6.58618732109694e-12	1.92673279528926	0.00149937659316482	1.69441549731232	1.1705663691243e-06	3.53213028635145	1.38309933743036e-10	0.0104956361521537	1.96655150012882e-05
SynGO-L2-BP-synaptic signaling	3.50280665036401e-09	2.46865207505414	1.33651060730129e-09	3.80708710585168	3.41903602012288e-05	4.43420340270724	4.90392931050961e-08	3.74222970044361e-08	0.000460400555266804
SynGO-L3-CC-postsynaptic specialization	3.97917537985133e-08	1.96964536564024	1.36703882284616e-05	2.37601240036768	3.83667129389003e-05	3.57759907776447	4.1781341488439e-07	0.000143104043891238	0.000460400555266804
SynGO-L3-BP-trans-synaptic signaling	6.77124014858011e-09	2.48749734024879	1.06650479687287e-09	3.93294476776302	5.56166021541605e-05	4.31638656493653	8.12548817829613e-08	3.74222970044361e-08	0.000583974322618685
SynGO-L2-BP-process in the presynapse	0.00026117328683734	1.62441457540247	0.0533394596029852	1.58757396841088	0.000132766290395629	4.24109212371341	0.00156703972102404	0.194804982897859	0.00123915204369254
SynGO-L3-CC-presynaptic membrane	5.16423437567061e-07	2.46892016712355	0.000169347777911827	2.72627908495925	0.000284731873348185	5.94237698060519	4.33795687556331e-06	0.00142252133445935	0.00239174773612475
SynGO-L3-BP-synapse assembly	2.86585934246809e-06	2.83968745063296	4.81778222824325e-06	4.06353207595632	0.000828445697532326	6.41380542321324	2.18847440697563e-05	8.09387414344866e-05	0.00579911988272628
SynGO-L3-BP-synaptic vesicle cycle	0.101413875912914	1.29685914169333	0.0484835715776123	1.78109661829862	0.000808292963388629	4.50347327960757	0.243393302190994	0.185119091478156	0.00579911988272628
SynGO-L3-CC-postsynaptic membrane	4.82532054952162e-12	3.93607913449824	8.02671208165768e-06	3.21323285112701	0.00172507993020708	5.42198556152765	1.35108975386605e-10	0.000112373969143208	0.0111466703182611
SynGO-L3-CC-presynaptic active zone	0.000184172248251174	2.4217559834311	0.00310320142138347	2.74556500024809	0.00602677313015321	6.01536429115911	0.00119003606562297	0.0184459960745515	0.0361606387809193
SynGO-L3-BP-regulation of presynaptic membrane potential	0.00190056794515008	2.79107439199558	0.00329392787045563	3.64961258119848	0.0118571212586493	11.6329868692106	0.00840251091540035	0.0184459960745515	0.0663998790484361
