cell_type	regdom_prop	num_HARs	num_hCONDELs	num_HARs_hCONDELs	num_genes_near_HARs	num_genes_near_hCONDELs	num_genes_near_HARs_hCONDELs	prop_HARs	prop_hCONDELs	prop_HARs_hCONDELs	pval_genes_near_HARs	pval_genes_near_hCONDELs	pval_genes_near_HARs_hCONDELs	pval_HARs	pval_hCONDELs	pval_HARs_hCONDELs	padj_genes_near_HARs	padj_genes_near_hCONDELs	padj_genes_near_HARs_hCONDELs	padj_HARs	padj_hCONDELs	padj_HARs_hCONDELs
Chandelier1	0.028036866082829	195	42	237	96	38	119	0.132963988919668	0.0526315789473684	0.164819944598338	8.09523772195914e-08	0.10854299478004	1.26407824165341e-06	2.69348745311307e-23	0.0692524559637291	3.40673094208731e-21	4.45238074707753e-06	1	6.69961468076307e-05	1.53528784827445e-21	1	1.94183663698977e-19
L6CT1	0.0274872633794191	169	48	217	89	39	116	0.104705882352941	0.0458823529411765	0.136470588235294	0.00185909085112939	0.347745413707723	0.00452826807780463	1.69551780373322e-15	0.00516477687289799	2.2745631366721e-16	0.0464772712782347	1	0.0876689110261486	9.49489970090603e-14	0.179569654276831	1.27375535653638e-14
MicroPVM1	0.00698562412134071	67	17	84	25	14	29	0.337837837837838	0.189189189189189	0.391891891891892	4.72218386072784e-07	0.000172899311909232	7.1934033330809e-07	9.39502461980163e-15	0.00461072916176004	6.8745928502441e-16	2.45553560757848e-05	0.00916366353118929	3.88443779986369e-05	5.1672635408909e-13	0.165986249823361	3.78102606763425e-14
Astro1	0.00828101316199262	68	22	90	33	17	38	0.226027397260274	0.116438356164384	0.26027397260274	1.64408500087085e-07	0.000473781837632241	1.60746759877864e-06	6.03765599622184e-12	0.000462719165806459	2.02848194654661e-14	8.87805900470259e-06	0.0246366555568765	8.19808475377106e-05	3.19995767799757e-10	0.0226732391245165	1.09538025113517e-12
Vip1	0.017977074292301	118	29	147	58	25	76	0.129753914988814	0.0559284116331096	0.170022371364653	7.493107594138e-05	0.118480815537447	4.99160744167122e-05	5.80498826009889e-13	0.0579649188769854	1.35811560708331e-12	0.00284738088577244	1	0.0016472304557515	3.1346936604534e-11	1	7.19801271754154e-11
L56NP2	0.0357364311631803	182	65	247	115	56	151	0.1123046875	0.0546875	0.1474609375	2.32684095561954e-05	0.0306003849518312	3.02171334288861e-05	7.80121936166764e-10	0.000468273645527078	2.55300106844405e-12	0.000954004791804011	1	0.00105759967001101	3.66657309998379e-08	0.0226732391245165	1.32756055559091e-10
L5IT2	0.0239973074761155	126	53	179	78	44	114	0.110169491525424	0.0621468926553672	0.161016949152542	0.000657713347473099	0.00597558375710773	4.01956404437322e-06	6.59967166269031e-08	1.51059611986284e-05	9.67398697247678e-12	0.019731400424193	0.250974517798525	0.000196958638174288	2.83785881495683e-06	0.000830827865924562	4.93373335596316e-10
L6IT1	0.0240783595980486	126	50	176	77	41	108	0.0983397190293742	0.0523627075351213	0.137931034482759	0.0146823363366335	0.0902056806780733	0.00351105026301015	7.87712698725296e-08	0.000115645082246303	6.6808931523425e-11	0.205552708712869	1	0.0807541560492334	3.30839333464624e-06	0.00601354427680776	3.34044657617125e-09
Lamp5Lhx61	0.0257179544217307	145	40	185	81	35	104	0.125581395348837	0.0542635658914729	0.161240310077519	6.88941742634902e-06	0.0819007473668685	1.3166331581914e-05	7.44810712286888e-11	0.0482034934112238	7.52719422679314e-11	0.000323802619038404	1	0.000566152258022302	3.87301570389182e-09	1	3.68832517112864e-09
Sst2	0.0191695194828389	116	29	145	54	25	70	0.109756097560976	0.0508130081300813	0.142276422764228	0.0054098866355239	0.225441778676578	0.0100423364122	1.16994968595337e-10	0.104842196859218	3.64645921783885e-10	0.112288912404549	1	0.149757470457347	5.96674339836219e-09	1	1.75030042456265e-08
L6b1	0.0139260439049852	84	30	114	40	25	57	0.135593220338983	0.0847457627118644	0.193220338983051	0.000821701154413348	0.00183576989922504	2.92859922177028e-05	4.66061185901724e-08	0.00145530927999555	4.03968419850408e-10	0.0230076323235737	0.0896721457246432	0.0010542957198373	2.05066921796759e-06	0.0640336083198042	1.89865157329692e-08
L4IT1	0.0200486340432891	104	45	149	73	37	95	0.124361158432709	0.0630323679727428	0.161839863713799	4.00679875998536e-05	0.0115328218274967	3.92761506378735e-05	1.514352259278e-06	4.49547164774597e-05	6.6144038182199e-10	0.00156265151639429	0.46378509102087	0.0013353891216877	4.8459272296896e-05	0.00238259997330536	3.04262575638115e-08
Sst7	0.014894492638989	85	34	119	44	26	60	0.133738601823708	0.0790273556231003	0.182370820668693	0.000386487285597151	0.00241601905970487	5.54224502321325e-05	3.71687466146572e-07	0.000271148450480028	6.74294051441698e-10	0.0121533246152318	0.111136876746424	0.00177351840742824	1.33807487812766e-05	0.0135574225240014	3.04262575638115e-08
L23IT3	0.0217639202674942	115	43	158	68	37	94	0.102564102564103	0.0558069381598793	0.141779788838612	0.00613640817187587	0.0504920055291403	0.00213211384275288	1.79590131994253e-07	0.000894261989315646	9.85904455436197e-10	0.112288912404549	1	0.0511707322260691	7.18360527977012e-06	0.0411360515085197	4.33797960391927e-08
Pax62	0.00731526768419722	58	13	71	21	11	27	0.147887323943662	0.0774647887323944	0.190140845070423	0.00534709106688327	0.0577783776052972	0.00472180027736846	7.34096577141922e-10	0.0960120145595504	1.22516321730922e-09	0.112288912404549	1	0.0876689110261486	3.52366357028123e-08	1	5.26820183442965e-08
Vip4	0.0147750266229423	94	22	116	59	21	67	0.1671388101983	0.0594900849858357	0.189801699716714	3.34067928247406e-08	0.102202348390081	7.19966204744137e-06	6.02908013123855e-10	0.157927047815726	2.84114004639163e-09	1.87078039818547e-06	1	0.00031678513008742	2.95424926430689e-08	1	1.19327881948448e-07
L6ITCar31	0.0268540691934014	141	43	184	95	35	119	0.119949494949495	0.0441919191919192	0.150252525252525	1.11966060558333e-05	0.425663738176276	9.57724038945791e-05	1.10489518929187e-08	0.0283910621397888	3.03473942462e-09	0.000503847272512499	1	0.00287317211683737	4.97202835181341e-07	0.652994429215142	1.2442431640942e-07
L56NP1	0.0259596719978316	122	57	179	81	45	108	0.11587982832618	0.0643776824034335	0.15450643776824	0.000193280114430767	0.00381774042584144	9.18355079675189e-05	1.91620242414108e-05	8.5950732425211e-06	3.20236730391877e-09	0.00637824377621531	0.167980578737023	0.00284690074699309	0.000498212630276681	0.000481324101581182	1.28094692156751e-07
