cell_type	regdom_prop	num_HARs	num_hCONDELs	num_HARs_hCONDELs	num_genes_near_HARs	num_genes_near_hCONDELs	num_genes_near_HARs_hCONDELs	prop_HARs	prop_hCONDELs	prop_HARs_hCONDELs	pval_genes_near_HARs	pval_genes_near_hCONDELs	pval_genes_near_HARs_hCONDELs	pval_HARs	pval_hCONDELs	pval_HARs_hCONDELs	padj_genes_near_HARs	padj_genes_near_hCONDELs	padj_genes_near_HARs_hCONDELs	padj_HARs	padj_hCONDELs	padj_HARs_hCONDELs
Sst1	0.029108153887218	223	42	265	85	31	96	0.304659498207885	0.111111111111111	0.344086021505376	1.56011966044947e-18	2.23369984217347e-05	5.76550190007604e-18	5.15108493965952e-32	0.105169537832993	4.70795510316724e-28	8.89268206456198e-17	0.00122853491319541	3.28633608304334e-16	2.93611841560593e-30	1	2.68353440880533e-26
OPC1	0.0412381825004793	270	65	335	123	55	142	0.241176470588235	0.107843137254902	0.27843137254902	6.66183026095267e-16	1.74692610271828e-07	4.46828209858009e-15	4.54396441185195e-28	0.0117338972600141	9.6742054641756e-27	3.7306249461335e-14	9.95747878549419e-06	2.50223797520485e-13	2.54462007063709e-26	0.563227068480677	5.41755505993834e-25
L6IT1	0.0343497932713197	219	54	273	96	44	118	0.130968622100955	0.0600272851296044	0.160982264665757	0.00714231230195341	0.0281745757749123	0.00727493171363265	1.53485383846975e-21	0.0211310417392416	1.10854420558022e-20	0.114276996831255	0.862828765512075	0.145498634272653	8.44169611158362e-20	0.873868455414267	6.09699313069121e-19
L23IT3	0.0444218296966163	252	74	326	118	55	143	0.154855643044619	0.0721784776902887	0.187664041994751	1.06704118630509e-05	0.000649118220539231	1.14238659255677e-05	2.59202802932161e-18	0.00206082266639836	2.04530067386613e-19	0.000522850181289494	0.03375414746804	0.000605464894055088	1.34785457524724e-16	0.11334524665191	1.10446236388771e-17
L5ET1	0.0252835548549336	171	40	211	71	31	89	0.133709981167608	0.0583804143126177	0.167608286252354	0.0113078355550109	0.0840332834827054	0.0065618189457976	2.10954183901324e-19	0.0390611128851493	2.09079085183253e-18	0.147435212906689	1	0.144360016807547	1.11805717467702e-17	1	1.10811915147124e-16
Pvalb1	0.0290308483221639	191	40	231	84	34	99	0.163424124513619	0.066147859922179	0.192607003891051	7.7424362782273e-06	0.0168325958884939	2.3651687007799e-05	2.68974430301156e-20	0.173472050042249	1.01404252880194e-17	0.00040260668646782	0.572308260208793	0.00118258435038995	1.45246192362624e-18	1	5.27302114977009e-16
Sst9	0.0283011973538373	180	41	221	80	30	94	0.165289256198347	0.0619834710743802	0.194214876033058	2.57663431198507e-05	0.0544844120999155	7.81166622997172e-05	8.68961333414726e-18	0.103795933050109	3.67233636072463e-16	0.00123678446975283	1	0.00382771645268614	4.4317028004151e-16	1	1.87289154396956e-14
L6b2	0.0323246073511913	197	47	244	97	39	114	0.140376266280753	0.0564399421128799	0.164978292329957	0.000575621008088437	0.0837348206245311	0.0030125049908879	1.70627053872063e-17	0.0832616964860835	4.32150407289445e-16	0.0230248403235375	1	0.0843501397448612	8.5197899402776e-16	1	2.16075203644722e-14
L4IT1	0.0230449265322663	155	31	186	70	26	81	0.150862068965517	0.0560344827586207	0.174568965517241	0.00170791288568834	0.182880992512008	0.00802337865256258	1.70395798805552e-17	0.24738458367614	4.63793695177721e-15	0.0495294736849619	1	0.152444194398689	8.5197899402776e-16	1	2.27258910637083e-13
Chandelier1	0.0244425875174662	151	41	192	71	32	84	0.174019607843137	0.0784313725490196	0.205882352941176	9.51210594982099e-06	0.00208460163987076	1.78932402912261e-05	3.86280917175496e-14	0.016741838224656	1.95059030830908e-14	0.000481208685265939	0.100060878713796	0.000930448495143757	1.81552031072483e-12	0.75338272010952	9.36283347988358e-13
Lamp51	0.0261141647270679	149	52	201	65	35	77	0.144124168514412	0.0776053215077605	0.170731707317073	0.0037938901146021	0.00154898017652606	0.00925074357518881	1.79398880572066e-11	0.000230210452229422	3.08948102062166e-14	0.0834655825212462	0.0759000286497769	0.15726264077821	6.81715746173851e-10	0.0131219957770771	1.45205607969218e-12
L5IT1	0.0369401104442548	211	51	262	105	44	125	0.141891891891892	0.0594594594594595	0.168918918918919	0.000806325195787739	0.0438523475529388	0.00230825193843248	8.8045250807312e-16	0.137027524612775	3.59495704174484e-14	0.0290277070483586	1	0.0715558100914069	4.22617203875098e-14	1	1.65368023920263e-12
Lamp52	0.0241117442077112	147	40	187	63	30	76	0.164921465968586	0.0785340314136126	0.198952879581152	0.000211444153199932	0.00357516423043257	0.000196315700430082	2.24297630433145e-13	0.0209269193069656	1.28526497178196e-13	0.00866921028119721	0.153732061908601	0.00903052221978377	1.03176909999247e-11	0.873868455414267	5.78369237301882e-12
Pvalb3	0.0262987973141045	154	43	197	73	33	88	0.141199226305609	0.0638297872340425	0.170212765957447	0.00271292641898211	0.031556620328808	0.00485931339857379	1.24307095283513e-12	0.0211834236609968	6.06177349839295e-13	0.0705360868935349	0.915141989535432	0.111764208167197	5.34520509719106e-11	0.873868455414267	2.6671803392929e-11
L6b1	0.0217990749392306	134	36	170	64	30	81	0.118959107806691	0.0557620817843866	0.150557620817844	0.0882954673574428	0.110014267538958	0.0605734628348596	1.49488455866065e-12	0.0288793852150589	1.08656698685291e-12	0.329772801315903	1	0.363440777009158	6.27851514637473e-11	1	4.67223804346751e-11
Sst7	0.0203045444967678	129	30	159	54	25	67	0.144772117962467	0.0670241286863271	0.179624664879357	0.0164526518158594	0.0446393445167569	0.0108263675452292	4.43942567389403e-13	0.123451182891107	4.31946675005573e-12	0.170501440503695	1	0.15726264077821	1.99774155325231e-11	1	1.81417603502341e-10
Sst4	0.0193223327453937	119	34	153	52	24	59	0.175084175084175	0.0808080808080808	0.198653198653199	9.52908797993906e-05	0.00457532373089386	0.000618479520011908	2.37267784384439e-11	0.0149965604069007	4.95344960936649e-12	0.00419279871117319	0.187588272966648	0.0244266210514328	8.30437245345537e-10	0.689841778717432	2.03091433984026e-10
L5IT2	0.0297125477138041	164	47	211	67	35	87	0.108414239482201	0.0566343042071197	0.140776699029126	0.337175007212499	0.0975136641741965	0.231310475958361	2.0332626850534e-11	0.0272776542103796	1.06055374044559e-11	0.337175007212499	1	0.462620951916722	7.52307193469758e-10	1	4.24221496178236e-10
L6CT1	0.0292493149197986	158	49	207	77	37	95	0.12241653418124	0.0588235294117647	0.151033386327504	0.0659545602631806	0.0587862066959483	0.0746256661603902	2.13585621425243e-10	0.00983574950002365	2.22561569000025e-11	0.329772801315903	1	0.373128330801951	7.04832550703302e-09	0.481951725501159	8.67990119100098e-10
L6CT2	0.0216001367079264	123	40	163	57	30	67	0.151193633952255	0.0795755968169761	0.177718832891247	0.00572131815817319	0.00381129364361507	0.0140091059895778	1.16165046205465e-09	0.00399733180915732	3.55227905909217e-11	0.0972624086889442	0.160074333031833	0.15726264077821	2.90808407128135e-08	0.215855917694495	1.34986604245502e-09
Vip3	0.0222137409319276	126	40	166	58	30	71	0.155495978552279	0.0804289544235925	0.190348525469169	0.00180651525341093	0.00250127230542653	0.00136288681060986	9.17278631146353e-10	0.00625923105631217	4.78532093634974e-11	0.050582427095506	0.110055981438767	0.048996814272818	2.47665230409515e-08	0.331739245984545	1.7705687464494e-09
L6ITCar31	0.0279057895218199	162	36	198	69	31	83	0.161971830985915	0.0727699530516432	0.194835680751174	0.000200012212582967	0.00792044531034735	0.000200501702558632	6.25510172738128e-13	0.308012275531169	4.94776233772466e-11	0.00840051292848461	0.293056476482852	0.00903052221978377	2.75224476004776e-11	1	1.78119444158088e-09
Sncg2	0.0263305559864821	142	45	187	73	35	85	0.206214689265537	0.0988700564971751	0.240112994350282	1.41258177518867e-08	2.17932417632409e-05	3.27435322565388e-08	1.94868165842945e-09	0.00942823285001221	1.58714592897928e-10	7.76919976353769e-07	0.00122042153874149	1.80089427410963e-06	4.67683598023068e-08	0.471411642500611	5.55501075142748e-09
L4IT2	0.0293169894192432	158	45	203	74	34	92	0.139359698681733	0.064030131826742	0.173258003766478	0.00506124434821308	0.0254699343510834	0.00279131593884442	2.50232227922017e-10	0.0454129814104036	2.03348894069491e-10	0.0969238315131484	0.815037899234669	0.0809481622264882	7.75719906558253e-09	1	6.91386239836269e-09
Pvalb2	0.0268437124613717	143	46	189	67	34	81	0.145969498910675	0.0740740740740741	0.176470588235294	0.00284717365176869	0.00470110449822916	0.00415639965731809	3.63557670842456e-09	0.00836629932012141	2.45553849899345e-10	0.0705360868935349	0.188044179929166	0.110161298642338	7.63471108769158e-08	0.426681265326192	8.10327704667839e-09
L23IT2	0.0296398440038455	166	38	204	79	35	97	0.148775894538606	0.0659133709981168	0.182674199623352	0.00121991394095975	0.0220905783483116	0.000839473001959294	5.14174864817634e-12	0.315253989883641	2.96579947313984e-10	0.0389458451220775	0.728989085494283	0.0318999740744532	2.05669945927054e-10	1	9.49055831404749e-09
Vip7	0.0282200372309867	161	35	196	72	28	85	0.163636363636364	0.0636363636363636	0.193181818181818	0.000115099944783542	0.0553939518709911	0.000291210577722559	2.748341387125e-12	0.396506440588435	3.30515296859097e-10	0.00494929762569231	1	0.0127684514933741	1.12681996872125e-10	1	1.0245974202632e-08
Lamp5Lhx61	0.0334481291348591	175	49	224	90	38	106	0.15929203539823	0.0672566371681416	0.187610619469027	2.65980825791853e-05	0.0113160721648028	9.6059057809344e-05	2.42377850102166e-10	0.0713961901092767	4.04946501972449e-10	0.00125010988122171	0.407378597932901	0.00461083477484851	7.75609120326931e-09	1	1.21483950591735e-08
