family_name	genes_in_family
Adhesion GPCR Subfamilies	ADGRA1;ADGRA2;ADGRA3;ADGRB1;ADGRB2;ADGRB3;ADGRD1;ADGRD2;ADGRE1;ADGRE2;ADGRE3;ADGRE4P;ADGRE5;ADGRF1;ADGRF2;ADGRF3;ADGRF4;ADGRF5;ADGRG1;ADGRG2;ADGRG3;ADGRG4;ADGRG5;ADGRG6;ADGRG7;ADGRV1
Latrophilin	ADGRL1;ADGRL2;ADGRL3;ADGRL4
Ig like cell adhesion molecule family	ALCAM;BCAM;BOC;CD2;CD28;CD47;CD58;CD84;CD96;CD244;CHL1;DSCAM;DSCAML1;F11R;FGFRL1;GP6;HEPACAM;HEPACAM2;ICAM1;ICAM2;ICAM3;ICAM4;ICAM5;JAM2;JAM3;JAML;L1CAM;LILRB2;MADCAM1;MCAM;MPZ;MPZL2;NCAM1;NCAM2;NFASC;NRCAM;PECAM1;SIRPA;SIRPG;SLAMF1;SLAMF6;THY1;VCAM1
Other Ig like containing proteins	AMIGO1;AMIGO2;AMIGO3;FLT3;ISLR;ISLR2
Astrotactin	ASTN1;ASTN2
Basigin	BSG;EMB;NPTN
C1QL	C1QL1;C1QL2;C1QL3;C1QL4
Nectin and nectin like molecule	CADM1;CADM2;CADM3;CADM4;CRTAM;NECTIN1;NECTIN2;NECTIN3;NECTIN4;PVR
Carbonic anhydrase	CA1;CA2;CA3;CA4;CA5A;CA5B;CA6;CA7;CA8;CA9;CA10;CA11;CA12;CA13;CA14
Cerebellin	CBLN1;CBLN2;CBLN3;CBLN4
Cadherin	CDH1;CDH2;CDH3;CDH4;CDH5;CDH6;CDH7;CDH8;CDH9;CDH10;CDH11;CDH12;CDH13;CDH15;CDH16;CDH17;CDH18;CDH19;CDH20;CDH22;CDH23;CDH24;CDH26
Cadherin related	CDHR1;CDHR2;CDHR3;CDHR4;CDHR5
CELSR	CELSR1;CELSR2;CELSR3
IgCAM CXADR-related protein	CLMP;CXADR;ESAM;GPA33;VSIG1;VSIG2;VSIG8
Calsyntenin	CLSTN1;CLSTN2;CLSTN3
Contactin	CNTN1;CNTN2;CNTN3;CNTN4;CNTN5;CNTN6
Contactin associated protein	CNTNAP1;CNTNAP2;CNTNAP3;CNTNAP3B;CNTNAP3C;CNTNAP4;CNTNAP5
Sushi domain containing protein	CSMD1;CSMD2;CSMD3;SEZ6;SEZ6L;SEZ6L2;SRPX;SRPX2;SUSD1;SUSD2;SUSD3;SUSD4;SUSD5;SUSD6;SVEP1;TPO
Catenin	CTNNA1;CTNNA2;CTNNA3;CTNNB1;CTNND1;CTNND2
IgSF DCC subclass	DCC;IGDCC3;IGDCC4;NEO1;PRTG
Ephrin	EFNA1;EFNA2;EFNA3;EFNA4;EFNA5;EFNB1;EFNB2;EFNB3
ELFN	ELFN1;ELFN2
EPH receptor	EPHA1;EPHA2;EPHA3;EPHA4;EPHA5;EPHA6;EPHA7;EPHA8;EPHA10;EPHB1;EPHB2;EPHB3;EPHB4;EPHB6
FAT cadherin	FAT1;FAT2;FAT3;FAT4
FLRT	FLRT1;FLRT2;FLRT3
Follistatin like	FSTL1;FSTL3;FSTL4;FSTL5
IgLON	IGLON5;LSAMP;NEGR1;NTM;OPCML
IgSF	IGSF1;IGSF3;IGSF5;IGSF6;IGSF8;IGSF9;IGSF9B;IGSF10;IGSF11;IGSF21;IGSF22;IGSF23
Integrin subunit alpha	ITGA1;ITGA2;ITGA2B;ITGA3;ITGA4;ITGA5;ITGA6;ITGA7;ITGA8;ITGA9;ITGA10;ITGA11;ITGAD;ITGAE;ITGAL;ITGAM;ITGAV
Integrin subunit beta	ITGAX;ITGB1;ITGB2;ITGB3;ITGB4;ITGB5;ITGB6;ITGB7;ITGB8;ITGBL1
IZUMO	IZUMO1;IZUMO1R;IZUMO2;IZUMO3;IZUMO4
KIRREL	KIRREL1;KIRREL2;KIRREL3
LGI	LGI1;LGI2;LGI3;LGI4
LINGO	LINGO1;LINGO2;LINGO3;LINGO4
LRR containing Ig like CAM	LRFN1;LRFN2;LRFN3;LRFN4;LRFN5;LRRC4;LRRC4B;LRRC4C
Other LRR containing molecules	LRIG1;LRIG2;LRIG3;LRIT1;LRIT2;LRIT3;LRRTM1;LRRTM2;LRRTM3;LRRTM4;LRTM1;LRTM2
LRRN	LRRN1;LRRN2;LRRN3;LRRN4
MAM GPI anchor protein	MDGA1;MDGA2
Neuroligin	NLGN1;NLGN2;NLGN3;NLGN4X;NLGN4Y
Pentraxin	NPTX1;NPTX2;NPTXR
Neuropilin	NRP1;NRP2
Neurexin	NRXN1;NRXN2;NRXN3
Netrin	NTN1;NTN3;NTN4;NTN5;NTNG1;NTNG2
